Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
1,0,0,1,0,0,2,2,9,40,8,2,0,0,0,0,6,4,13,4,16,26,3,2,0,2,0,2,1,0,0,0,17,17,30,0,3,5,9,0
2,6,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,2,0,4,2,1,0,1,0,0,1,0,2,0,0,0,5,0,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,2,4,0
4,1,0,0,0,0,1,1,0,2,1,2,0,2,0,0,2,4,0,3,1,2,0,5,0,5,1,0,3,1,1,0,1,0,0,0,0,0,0,3
5,13,18,14,15,13,4,7,7,3,5,5,15,13,35,22,10,14,6,3,5,2,6,6,10,7,18,13,15,3,1,1,6,7,5,3,7,16,8,4
6,6,11,6,15,4,9,21,29,41,28,6,11,3,7,6,2,14,20,21,30,32,10,6,4,5,5,9,8,11,2,6,18,33,28,24,5,4,7,8
7,0,0,0,0,0,0,0,0,1,4,3,1,4,0,0,1,0,0,0,3,2,0,3,3,0,0,0,0,0,1,1,2,0,1,3,0,1,1,1
8,2,3,5,2,1,6,15,7,23,20,12,4,6,5,4,6,7,2,22,9,19,16,10,0,8,6,10,15,10,1,3,10,26,13,6,9,9,0,6
9,2,4,0,2,7,0,1,0,2,4,0,5,2,1,4,0,0,3,2,2,4,3,1,2,0,0,1,0,2,3,1,0,5,2,2,0,1,0,0
10,0,0,4,5,1,0,6,3,7,6,7,0,0,6,0,13,4,1,1,0,14,10,0,2,3,1,1,0,3,4,1,7,6,2,0,2,2,0,4
11,13,16,9,10,15,4,6,9,19,13,23,26,33,28,19,20,14,24,22,21,19,29,15,23,24,23,25,11,10,21,24,6,17,27,4,6,3,15,9
12,1,2,1,0,3,2,0,3,4,5,6,1,1,0,0,0,1,0,3,1,5,0,1,3,0,7,1,0,0,0,2,1,3,9,1,0,1,1,0
13,2,0,0,0,0,2,4,6,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,10,0,0,0
14,13,24,21,21,17,9,13,6,9,31,26,40,17,12,18,28,20,4,24,21,30,10,26,25,20,9,18,20,14,13,20,3,19,49,14,21,14,12,10
15,48,63,44,51,54,46,114,19,18,44,44,41,46,52,62,56,69,79,78,29,38,26,28,28,29,36,34,18,20,9,6,4,5,10,3,18,2,13,9
16,31,40,27,39,39,31,37,13,12,33,24,24,30,32,29,36,38,40,36,17,30,16,12,18,21,7,3,1,7,3,3,3,2,6,2,1,2,15,7
17,3,0,0,0,5,0,3,1,0,1,2,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,6,7,1,0,0,3,0
18,2,3,2,2,1,2,2,1,1,0,2,5,4,2,1,4,1,2,2,3,4,0,0,0,1,4,1,0,0,1,0,0,0,0,1,0,0,1,1
19,33,72,58,92,48,63,147,40,35,74,40,78,43,89,94,96,120,133,140,80,50,48,53,52,46,69,115,115,92,59,69,18,19,49,37,56,46,95,45
20,132,218,177,228,209,231,283,128,186,249,183,165,180,231,202,219,199,253,398,233,195,100,101,116,136,121,122,117,95,84,105,70,42,88,55,67,98,103,73
21,1,3,1,3,0,0,0,0,0,1,0,3,1,3,3,1,3,0,1,1,0,3,1,1,3,1,5,0,1,0,0,0,0,0,1,2,0,1,0
22,0,0,0,2,0,1,0,0,1,0,4,2,2,1,3,0,3,0,0,0,1,0,0,1,2,3,2,0,1,3,1,3,1,1,0,2,0,0,0
23,0,2,5,4,2,0,0,0,2,3,4,1,5,3,0,4,0,2,3,2,5,2,4,0,2,0,0,0,0,0,2,0,0,1,0,0,2,2,0
24,1,1,1,1,0,1,1,0,0,2,1,1,0,0,3,0,0,2,1,1,1,0,1,0,1,0,2,1,2,1,0,0,0,0,1,1,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,3,2,5,2,5,0,10,0,5,0,1,5,1,1,3,0,2,1,4,0,2,2,0
26,7,0,3,1,1,0,0,0,0,7,3,2,7,9,12,0,2,0,3,0,0,0,5,13,6,8,2,1,0,0,0,8,1,1,5,8,6,7,3
27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,1,3,2,4,0,1,0,0,2,0,2,2,0,4,2,2,0
28,20,32,28,39,33,29,27,44,50,46,23,26,15,24,26,35,60,46,36,54,60,38,28,21,24,16,24,37,24,9,45,28,78,54,30,50,23,17,22
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,18,11,30,37,9,13,4,8,9,12,1,11,3,3,7,22,25,14,22,7,5,8
30,1,0,2,1,0,2,1,1,0,0,0,2,1,0,1,2,2,2,2,2,1,1,1,0,1,1,0,2,1,1,0,0,2,8,1,0,0,1,0
31,0,0,2,0,0,0,0,1,0,0,3,2,0,0,1,1,0,1,0,3,3,1,0,0,0,0,0,1,1,0,0,1,0,6,1,2,2,0,0
32,21,1,1,3,0,1,1,17,10,13,22,17,26,6,1,0,0,0,16,9,8,0,5,18,17,5,0,10,1,5,2,0,24,11,38,33,7,0,2
33,0,1,1,1,0,0,0,0,1,5,2,1,1,3,1,0,2,0,0,1,0,0,2,1,1,2,2,0,0,0,5,0,1,0,0,3,4,2,1
34,2,5,4,6,0,0,7,16,6,2,18,27,22,12,0,4,0,10,12,4,2,10,0,4,6,2,2,0,0,2,6,10,10,30,5,14,7,8,2
35,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,2,1,0,2,2,0,1,1,1
36,20,19,22,15,16,19,17,12,19,14,16,24,19,17,32,25,42,28,23,21,34,13,19,24,27,19,22,31,6,6,4,21,22,20,22,15,11,10,12
37,134,28,13,10,12,13,20,39,48,107,140,159,125,43,10,14,8,7,39,74,79,43,61,150,48,21,37,1,7,17,96,54,14,42,49,11,25,6,3
38,16,28,35,36,9,19,73,33,49,22,23,13,30,33,61,42,12,58,70,47,66,29,38,9,19,12,26,16,22,31,27,38,53,38,21,29,35,4,7
39,68,61,69,73,35,23,48,44,161,75,78,100,81,40,68,102,12,34,61,58,78,69,28,64,28,7,56,87,11,22,77,48,42,67,158,122,70,61,121
40,0,0,0,0,21,7,0,0,7,0,10,0,0,2,25,0,0,0,0,0,0,0,0,0,13,0,15,12,0,7,7,0,9,44,0,0,0,0,0
41,0,0,0,0,1,0,0,8,4,0,0,0,0,0,0,0,11,0,0,4,1,0,0,0,0,0,25,0,4,0,0,0,8,0,0,0,2,4,0
42,150,350,1017,538,319,653,570,490,913,670,120,430,0,240,738,892,280,132,590,340,224,30,0,70,0,100,760,510,10,473,560,150,409,363,212,258,0,292,232
43,263,960,1259,509,187,246,1325,837,1694,489,299,44,441,690,1356,893,354,834,1375,240,550,160,360,225,2,250,1422,742,227,360,368,464,126,168,432,22,285,394,588
44,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,3,0,0,0,0,3,2,0,0
45,0,1,3,2,5,6,3,1,1,1,0,2,2,2,1,3,5,0,3,1,1,1,1,1,1,0,4,2,1,1,1,1,4,7,1,3,2,1,2
46,1,5,4,4,2,4,2,0,1,3,2,1,1,1,1,3,1,2,4,5,5,3,2,0,2,0,0,1,2,3,2,1,2,3,1,1,3,4,0
47,6,12,11,18,12,18,33,36,46,41,22,4,8,16,10,10,9,16,22,50,48,33,17,3,5,6,18,28,17,19,37,30,51,46,30,25,14,7,6
48,24,26,19,28,20,45,68,86,119,106,34,10,10,19,20,25,13,27,61,115,125,58,27,16,13,19,31,80,27,22,63,69,110,69,76,38,24,10,28
49,4,8,6,6,4,8,8,8,6,20,5,4,2,6,14,6,6,6,6,11,8,11,8,0,0,2,6,4,10,4,17,8,12,15,9,10,7,5,4
50,6,7,6,15,10,14,20,23,37,28,15,4,6,9,10,14,13,11,26,27,43,22,13,4,4,5,15,27,21,9,24,18,32,39,11,20,14,3,10
51,0,3,0,1,0,1,7,4,7,5,0,0,13,0,4,1,2,0,1,2,3,2,7,0,0,0,5,2,3,1,8,2,2,0,5,0,3,9,6
52,1,2,0,1,1,0,1,3,2,1,0,0,4,0,0,1,1,0,1,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,2
53,0,0,2,1,0,1,3,0,3,2,0,0,2,0,0,0,0,2,3,2,0,2,1,0,2,0,0,0,1,0,1,1,3,0,1,3,1,0,2
54,0,2,1,1,1,1,1,1,0,3,2,1,3,0,1,1,1,0,1,2,4,1,1,1,1,0,3,2,2,1,0,4,0,0,0,1,1,4,1
55,0,0,1,2,0,1,1,1,3,4,6,0,2,3,2,0,1,0,2,5,0,1,0,0,0,0,0,1,1,0,0,2,4,3,1,1,1,1,0
56,11,21,38,31,16,32,56,39,80,38,24,13,8,18,25,23,21,18,28,82,58,50,15,8,21,12,26,24,25,13,56,27,60,36,39,17,27,5,24
57,12,36,0,48,24,72,24,48,12,24,4,24,12,0,12,14,24,0,60,36,48,12,24,12,48,12,0,12,12,24,36,48,60,30,5,28,0,12,0
58,12,36,100,97,60,62,102,198,96,110,51,50,24,86,66,72,132,76,185,180,154,160,93,73,60,60,40,44,24,24,19,72,67,120,12,62,86,108,196
59,1,4,3,8,2,3,4,6,5,8,4,6,4,7,11,6,11,12,7,4,16,15,5,5,4,6,4,9,8,9,4,8,17,12,14,10,7,9,17
60,1,43,37,20,21,12,4,16,2,26,2,16,5,10,24,20,19,38,46,18,32,39,30,4,25,17,14,19,49,28,19,14,22,111,8,11,6,5,39
61,13,12,4,38,24,48,12,48,24,50,37,14,12,0,38,28,12,56,51,32,90,24,0,14,3,0,0,24,12,36,72,48,100,77,36,58,10,12,12
62,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,4,1,0,2,1,1,0,1,0,11,0,5,8,5,0,2,1,2
63,0,1,0,0,1,1,2,0,0,0,0,1,1,1,0,2,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,2,0,0,2,1,0
64,2,4,1,3,3,1,1,2,2,3,2,1,0,2,0,2,6,4,4,2,0,1,4,2,1,1,2,4,4,4,8,1,3,6,2,2,2,0,3
65,16,41,70,50,83,8,69,72,47,78,69,39,21,30,97,110,87,28,32,61,80,46,30,23,10,14,28,49,37,22,35,26,39,148,48,41,24,1,25
66,+AC0-22,116,110,188,142,86,48,58,141,143,101,97,42,69,104,136,213,89,120,161,152,130,81,55,70,54,118,122,123,47,40,27,27,33,31,14,23,10,15
67,4,1,2,5,1,3,4,12,12,11,5,2,6,3,3,3,4,4,3,12,9,8,4,0,2,1,2,0,1,2,2,34,8,12,2,1,14,1,4
68,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
69,0,0,0,1,0,0,1,0,2,6,0,1,0,2,0,0,0,0,1,2,3,2,0,0,0,2,0,1,0,0,0,0,4,7,3,0,3,0,1
70,117,72,94,72,72,38,35,23,109,87,65,171,70,91,85,65,63,64,72,51,75,154,63,64,95,42,73,63,46,38,55,15,37,62,35,23,18,4,3
71,19,70,58,62,28,50,80,58,50,112,68,26,38,52,81,44,20,50,68,96,136,72,30,8,10,24,34,46,60,42,92,116,78,78,67,55,54,10,18
72,0,2,2,1,2,0,0,1,7,3,3,0,2,1,4,1,3,3,4,11,1,3,3,0,0,1,3,2,1,0,0,1,1,7,0,1,0,0,4
73,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,0,0,4,0,1,0,4,3,0,0,0
74,4,14,10,9,6,14,19,11,25,11,7,6,11,0,14,10,7,9,11,14,10,10,3,0,5,9,8,18,6,8,9,3,22,25,5,14,14,8,3
75,2,4,7,4,2,4,5,3,1,3,3,7,2,1,0,5,3,2,4,4,4,1,6,1,2,0,2,3,5,6,2,0,5,6,1,3,2,1,2
76,4,2,0,0,0,0,1,0,0,1,3,1,5,0,0,1,0,0,1,1,1,0,3,4,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1
77,480,612,599,678,618,471,469,269,446,728,631,790,539,565,691,698,612,594,566,431,749,430,343,491,519,527,778,775,543,501,713,433,308,531,311,432,259,263,95
78,0,1,1,1,3,1,4,12,7,7,3,3,0,0,1,2,1,2,8,13,5,3,1,1,1,3,2,0,0,1,6,10,8,8,2,4,5,1,1
79,452,603,554,632,679,358,222,242,326,517,458,558,293,488,815,658,689,594,406,508,554,260,283,282,339,262,166,69,138,245,210,92,123,420,208,278,161,123,125
80,7,11,23,16,9,13,28,33,52,42,19,19,14,8,10,11,8,16,35,28,40,25,11,4,11,3,14,17,9,17,19,18,54,23,14,20,15,10,11
81,370,393,370,394,343,258,324,204,276,461,354,487,355,356,398,475,405,374,451,340,486,271,208,274,299,309,433,395,240,236,177,178,152,284,234,183,186,178,90
82,303,622,511,625,550,379,298,208,438,512,420,469,257,541,790,718,666,618,560,490,331,268,241,232,286,280,355,184,173,147,110,126,212,169,259,194,158,102,192
83,0,0,1,0,1,1,3,0,2,1,0,1,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0
84,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,1,4,3,0,0,0,0,0,0,1,0,2,0,1,2,0,1,0,1,1
85,0,0,0,0,0,0,0,0,0,4,4,4,0,0,1,0,0,0,4,0,5,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0
86,2,2,2,1,3,1,1,0,0,4,16,15,8,26,47,54,73,38,28,14,23,11,21,35,28,22,52,46,33,13,15,2,14,26,34,27,11,24,56
87,386,535,410,471,441,315,421,235,324,571,365,534,402,398,439,531,532,397,541,422,507,271,210,318,334,352,568,505,293,259,179,215,132,319,298,304,201,215,144
88,0,4,3,1,5,3,7,2,7,3,5,4,1,1,2,2,7,2,3,6,4,3,1,0,2,0,3,2,5,2,4,4,9,10,1,3,2,1,0
89,24,30,1,42,24,36,31,49,21,24,7,24,12,6,6,7,18,12,30,42,49,6,15,13,30,0,12,6,12,2,12,18,58,60,6,49,0,18,0
90,10,24,22,28,32,20,10,13,23,33,19,16,12,12,29,40,39,27,20,15,22,25,18,10,16,18,32,17,23,8,5,12,7,28,14,12,17,8,11
91,11,14,23,19,11,16,34,36,56,49,25,19,24,12,16,13,11,19,43,31,48,34,20,12,11,4,16,18,10,13,20,22,61,36,24,29,22,11,12
92,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0
93,47,95,146,92,97,34,43,36,120,116,84,136,21,67,102,83,84,53,59,79,63,74,44,47,43,27,63,47,32,18,34,21,29,56,57,46,25,25,41
94,0,1,1,2,1,0,1,1,0,3,3,1,0,1,1,0,1,0,3,2,2,0,1,0,0,1,1,0,1,0,0,1,0,1,3,+AC0-1,0,0,0
95,0,1,0,0,0,1,0,0,1,2,1,1,0,1,1,1,0,2,4,0,5,0,3,0,2,0,0,3,1,0,0,2,4,1,0,1,3,2,1
96,2,8,6,9,4,6,11,1,4,8,3,2,10,9,9,9,14,8,18,12,3,6,1,2,0,1,0,2,4,1,0,2,4,2,2,0,0,5,0
97,8,8,6,32,2,17,4,10,12,16,14,12,6,12,10,6,14,14,12,23,23,0,6,6,2,0,0,4,0,2,10,5,4,8,4,2,22,10,2
98,5,2,2,4,4,7,8,2,8,7,2,6,4,4,0,4,0,4,13,4,8,8,17,6,4,6,5,2,3,10,4,7,10,9,4,5,2,2,0
99,25,10,10,6,3,21,12,10,10,40,26,10,8,5,11,0,0,10,0,15,16,0,15,5,6,25,0,0,10,6,15,10,0,0,5,10,5,5,7
100,1,2,2,1,2,3,2,2,1,3,0,4,3,2,6,4,0,5,4,2,5,2,1,0,2,2,1,3,1,0,1,0,1,2,1,2,0,2,0
